"id","apofasal","apoperi_id","apoperico","aporico","date","estival","fasal","invernal","invertido","lleno","luna_id","nuevo","otonyal","perico","primaveral","selecto","soe_id","year"
120,0,,0,0,"0116-12-21 00:43:27",0,1,1,0,0,109601,1,0,0,0,0,464,116
121,0,,0,0,"0117-03-21 02:00:59",0,1,0,0,0,5770,1,0,0,1,0,465,117
122,0,,0,0,"0117-03-21 02:00:59",0,1,0,0,0,109613,1,0,0,1,0,465,117
123,0,,0,0,"0120-09-23 06:25:07",0,1,0,0,1,5944,0,1,0,0,0,479,120
124,0,,0,0,"0120-09-23 06:25:07",0,1,0,0,1,109787,0,1,0,0,0,479,120
125,0,,0,0,"0120-12-21 00:06:15",0,1,1,0,1,5956,0,0,0,0,0,480,120
126,0,,0,0,"0120-12-21 00:06:15",0,1,1,0,1,109799,0,0,0,0,0,480,120
127,0,,0,0,"0121-03-21 01:18:37",0,1,0,0,1,5968,0,0,0,1,0,481,121
128,0,,0,0,"0121-03-21 01:18:37",0,1,0,0,1,109811,0,0,0,1,0,481,121
129,0,,0,0,"0125-03-21 00:31:19",0,1,0,0,0,6166,1,0,0,1,0,497,125
130,0,,0,0,"0125-03-21 00:31:19",0,1,0,0,0,110009,1,0,0,1,0,497,125
131,0,,0,0,"0130-06-23 03:08:55",1,1,0,0,0,6426,1,0,0,0,0,518,130
132,0,,0,0,"0130-06-23 03:08:55",1,1,0,0,0,110269,1,0,0,0,0,518,130
133,0,,0,0,"0131-09-23 22:10:02",0,1,0,0,1,6488,0,1,0,0,0,523,131
134,0,,0,0,"0131-09-23 22:10:02",0,1,0,0,1,110331,0,1,0,0,0,523,131
135,0,,0,0,"0131-12-21 16:01:51",0,1,1,0,1,6500,0,0,0,0,0,524,131
136,0,,0,0,"0131-12-21 16:01:51",0,1,1,0,1,110343,0,0,0,0,0,524,131
137,0,,0,0,"0134-06-23 02:19:07",1,1,0,0,1,6624,0,0,0,0,0,534,134
138,0,,0,0,"0134-06-23 02:19:07",1,1,0,0,1,110467,0,0,0,0,0,534,134
139,0,,0,0,"0135-09-23 21:33:32",0,1,0,0,0,6686,1,1,0,0,0,539,135
